Trimestre,PIB,,
T12000,  12 725 022,,
T22000,  12 994 569,,
T32000,  13 008 792,,
T42000,  13 003 302,,
T12001,  12 796 119,,
T22001,  12 967 530,,
T32001,  12 857 409,,
T42001,  12 901 429,,
T12002,  12 415 541,,
T22002,  13 112 363,,
T32002,  12 889 950,,
T42002,  13 084 104,,
T12003,  12 803 324,,
T22003,  13 182 930,,
T32003,  12 954 913,,
T42003,  13 305 707,,
T12004,  13 252 630,,
T22004,  13 732 336,,
T32004,  13 438 260,,
T42004,  13 872 035,,
T12005,  13 354 788,,
T22005,  14 104 834,,
T32005,  13 782 144,,
T42005,  14 306 524,,
T12006,  14 107 960,,
T22006,  14 700 504,,
T32006,  14 435 868,,
T42006,  14 800 897,,
T12007,  14 393 727,,
T22007,  14 993 339,,
T32007,  14 783 298,,
T42007,  15 204 939,,
T12008,  14 563 428,,
T22008,  15 386 334,,
T32008,  14 979 495,,
T42008,  15 125 054,,
T12009,  13 752 149,,
T22009,  14 012 938,,
T32009,  14 231 941,,
T42009,  14 882 966,,
T12010,  14 371 721,,
T22010,  14 998 399,,
T32010,  14 921 453,,
T42010,  15 499 605,,
T12011,  14 902 733,,
T22011,  15 413 047,,
T32011,  15 526 015,,
T42011,  16 139 539,,
T12012,  15 619 752,,
T22012,  16 027 465,,
T32012,  15 952 811,,
T42012,  16 638 866,,
T12013,  15 719 788,,
T22013,  16 361 864,,
T32013,  16 186 109,,
T42013,  16 840 988,,
T12014,  16 162 068,,
T22014,  16 743 445,,
T32014,  16 649 896,,
T42014,  17 408 792,,
T12015,  16 710 214,,
T22015,  17 261 228,,
T32015,  17 331 655,,
T42015,  17 866 336,,
T12016,  17 166 340,,
T22016,  17 780 991,,
T32016,  17 625 602,,
T42016,  18 416 024,,
T12017,  17 757 881,,
T22017,  18 085 473,,
T32017,  17 900 776,,
T42017,  18 744 915,,
T12018,  18 017 127,,
T22018,  18 667 812,,
T32018,  18 405 690,,
T42018,  18 989 547,,
T12019,  18 247 589,,
T22019,  18 474 906,,
T32019,  18 376 101,,
T42019,  18 850 755,,
T12020,  18 013 061,,
T22020,  15 015 519,,
T32020,  16 770 879,,
T42020,  18 005 414,,
,,,
,,,
,,,
,,,
,,,
