Fecha,"General","Subyacente","No_subyacente"
1Q Ene 2021,109.936,109.5359262,111.1724853
2Q Ene 2021,110.484,109.7218674,112.8398453
1Q Feb 2021,110.736,109.961759,113.1282581
2Q Feb 2021,111.079,110.1600466,113.9195108
1Q Mar 2021,111.668,110.5410537,115.1498136
2Q Mar 2021,111.981,110.7669028,115.7343955
1Q Abr 2021,112.052,110.966931,115.4060955
2Q Abr 2021,112.328,111.1549306,115.9537298
1Q May 2021,112.321,111.5206669,114.7942117
2Q May 2021,112.517,111.7677789,114.8338299
1Q Jun 2021,112.903,112.1637134,115.1883397
2Q Jun 2021,113.132,112.3985534,115.4007282
1Q Jul 2021,113.547,112.7429991,116.0331698
2Q Jul 2021,113.818,112.8871545,116.6936113
1Q Ago 2021,113.794,113.2027014,115.6210412
