Fecha,Tasa
1/3/2000,9.492
1/4/2000,9.4525
1/5/2000,9.5305
1/6/2000,9.5735
1/7/2000,9.495
1/10/2000,9.4425
1/11/2000,9.474
1/12/2000,9.5265
1/13/2000,9.4975
1/14/2000,9.4495
1/18/2000,9.4325
1/19/2000,9.4005
1/20/2000,9.3965
1/21/2000,9.4425
1/24/2000,9.49
1/25/2000,9.5265
1/26/2000,9.5065
1/27/2000,9.5125
1/28/2000,9.5625
1/31/2000,9.6245
2/1/2000,9.595
2/2/2000,9.5655
2/3/2000,9.4895
2/4/2000,9.4765
2/7/2000,9.4255
2/8/2000,9.3925
2/9/2000,9.3925
2/10/2000,9.4325
2/11/2000,9.4225
2/14/2000,9.3895
2/15/2000,9.3845
2/16/2000,9.3665
2/17/2000,9.3865
2/18/2000,9.3615
2/22/2000,9.4345
2/23/2000,9.4065
2/24/2000,9.3825
2/25/2000,9.3645
2/28/2000,9.3925
2/29/2000,9.3625
3/1/2000,9.3625
3/2/2000,9.3325
3/3/2000,9.3125
3/6/2000,9.3125
3/7/2000,9.265
3/8/2000,9.2575
3/9/2000,9.2725
3/10/2000,9.3025
3/13/2000,9.34
3/14/2000,9.3025
3/15/2000,9.3325
3/16/2000,9.3175
3/17/2000,9.3125
3/20/2000,9.3125
3/21/2000,9.29
3/22/2000,9.265
3/23/2000,9.2425
3/24/2000,9.165
3/27/2000,9.1725
3/28/2000,9.1975
3/29/2000,9.2495
3/30/2000,9.3015
3/31/2000,9.248
4/3/2000,9.2677
4/4/2000,9.3173
4/5/2000,9.3705
4/6/2000,9.35
4/7/2000,9.295
4/10/2000,9.335
4/11/2000,9.3705
4/12/2000,9.391
4/13/2000,9.43
4/14/2000,9.5
4/17/2000,9.4575
4/18/2000,9.395
4/19/2000,9.408
4/20/2000,9.39
4/24/2000,9.435
4/25/2000,9.4008
4/26/2000,9.41
4/27/2000,9.4215
4/28/2000,9.3943
5/1/2000,9.3375
5/2/2000,9.335
5/3/2000,9.39
5/4/2000,9.4
5/5/2000,9.485
5/8/2000,9.49
5/9/2000,9.5302
5/10/2000,9.615
5/11/2000,9.5695
5/12/2000,9.5825
5/15/2000,9.5833
5/16/2000,9.5
5/17/2000,9.5392
5/18/2000,9.55
5/19/2000,9.5625
5/22/2000,9.525
5/23/2000,9.516
5/24/2000,9.485
5/25/2000,9.5216
5/26/2000,9.5325
5/30/2000,9.5045
5/31/2000,9.5063
6/1/2000,9.5125
6/2/2000,9.5498
6/5/2000,9.58
6/6/2000,9.755
6/7/2000,9.84
6/8/2000,9.945
6/9/2000,9.8935
6/12/2000,9.835
6/13/2000,9.79
6/14/2000,9.79
6/15/2000,9.86
6/16/2000,9.877
6/19/2000,9.8585
6/20/2000,9.865
6/21/2000,9.855
6/22/2000,9.935
6/23/2000,9.9376
6/26/2000,10.075
6/27/2000,10.06
6/28/2000,9.95
6/29/2000,9.895
6/30/2000,9.835
7/3/2000,9.5455
7/5/2000,9.54
7/6/2000,9.555
7/7/2000,9.492
7/10/2000,9.46
7/11/2000,9.47
7/12/2000,9.44
7/13/2000,9.455
7/14/2000,9.375
7/17/2000,9.32
7/18/2000,9.34
7/19/2000,9.425
7/20/2000,9.34
7/21/2000,9.3625
7/24/2000,9.37
7/25/2000,9.35
7/26/2000,9.35
7/27/2000,9.35
7/28/2000,9.383
7/31/2000,9.345
8/1/2000,9.34
8/2/2000,9.35
8/3/2000,9.377
8/4/2000,9.328
8/7/2000,9.32
8/8/2000,9.325
8/9/2000,9.31
8/10/2000,9.33
8/11/2000,9.2626
8/14/2000,9.255
8/15/2000,9.21
8/16/2000,9.1975
8/17/2000,9.21
8/18/2000,9.2625
8/21/2000,9.255
8/22/2000,9.24
8/23/2000,9.225
8/24/2000,9.21
8/25/2000,9.23
8/28/2000,9.22
8/29/2000,9.2225
8/30/2000,9.24
8/31/2000,9.2
9/1/2000,9.23
9/5/2000,9.28
9/6/2000,9.33
9/7/2000,9.29
9/8/2000,9.2959
9/11/2000,9.25
9/12/2000,9.24
9/13/2000,9.3
9/14/2000,9.2875
9/15/2000,9.396
9/18/2000,9.44
9/19/2000,9.39
9/20/2000,9.44
9/21/2000,9.4325
9/22/2000,9.42
9/25/2000,9.421
9/26/2000,9.41
9/27/2000,9.415
9/28/2000,9.435
9/29/2000,9.4365
10/2/2000,9.415
10/3/2000,9.42
10/4/2000,9.435
10/5/2000,9.445
10/6/2000,9.4705
10/9/2000,9.456
10/10/2000,9.47
10/11/2000,9.47
10/12/2000,9.635
10/13/2000,9.5165
10/16/2000,9.53
10/17/2000,9.54
10/18/2000,9.55
10/19/2000,9.535
10/20/2000,9.556
10/23/2000,9.59
10/24/2000,9.615
10/25/2000,9.665
10/26/2000,9.65
10/27/2000,9.631
10/30/2000,9.595
10/31/2000,9.56
11/1/2000,9.59
11/2/2000,9.57
11/3/2000,9.6495
11/6/2000,9.67
11/7/2000,9.6
11/8/2000,9.65
11/9/2000,9.6225
11/10/2000,9.565
11/13/2000,9.51
11/14/2000,9.5
11/15/2000,9.4612
11/16/2000,9.4918
11/17/2000,9.4513
11/20/2000,9.4105
11/21/2000,9.4014
11/22/2000,9.371
11/24/2000,9.3895
11/27/2000,9.361
11/28/2000,9.425
11/29/2000,9.395
11/30/2000,9.42
12/1/2000,9.4
12/4/2000,9.3975
12/5/2000,9.395
12/6/2000,9.41
12/7/2000,9.42
12/8/2000,9.4565
12/11/2000,9.45
12/12/2000,9.47
12/13/2000,9.395
12/14/2000,9.43
12/15/2000,9.4025
12/18/2000,9.362
12/19/2000,9.42
12/20/2000,9.51
12/21/2000,9.634
12/22/2000,9.59
12/26/2000,9.5725
12/27/2000,9.57
12/28/2000,9.578
12/29/2000,9.6145
1/2/2001,9.81
1/3/2001,9.655
1/4/2001,9.74
1/5/2001,9.749
1/8/2001,9.72
1/9/2001,9.77
1/10/2001,9.82
1/11/2001,9.875
1/12/2001,9.88
1/16/2001,9.955
1/17/2001,9.875
1/18/2001,9.81
1/19/2001,9.795
1/22/2001,9.785
1/23/2001,9.735
1/24/2001,9.67
1/25/2001,9.685
1/26/2001,9.67
1/29/2001,9.6101
1/30/2001,9.67
1/31/2001,9.66
2/1/2001,9.78
2/2/2001,9.756
2/5/2001,9.76
2/6/2001,9.7
2/7/2001,9.68
2/8/2001,9.67
2/9/2001,9.7441
2/12/2001,9.7
2/13/2001,9.71
2/14/2001,9.71
2/15/2001,9.675
2/16/2001,9.7075
2/20/2001,9.6895
2/21/2001,9.73
2/22/2001,9.7
2/23/2001,9.665
2/26/2001,9.67
2/27/2001,9.68
2/28/2001,9.675
3/1/2001,9.665
3/2/2001,9.6465
3/5/2001,9.6255
3/6/2001,9.66
3/7/2001,9.64
3/8/2001,9.65
3/9/2001,9.6385
3/12/2001,9.66
3/13/2001,9.58
3/14/2001,9.58
3/15/2001,9.61
3/16/2001,9.6255
3/19/2001,9.53
3/20/2001,9.525
3/21/2001,9.5225
3/22/2001,9.605
3/23/2001,9.6355
3/26/2001,9.52
3/27/2001,9.53
3/28/2001,9.525
3/29/2001,9.52
3/30/2001,9.4565
4/2/2001,9.41
4/3/2001,9.41
4/4/2001,9.4152
4/5/2001,9.42
4/6/2001,9.4045
4/9/2001,9.349
4/10/2001,9.29
4/11/2001,9.31
4/12/2001,9.3025
4/16/2001,9.3051
4/17/2001,9.21
4/18/2001,9.24
4/19/2001,9.31
4/20/2001,9.367
4/23/2001,9.35
4/24/2001,9.28
4/25/2001,9.2931
4/26/2001,9.315
4/27/2001,9.265
4/30/2001,9.24
5/1/2001,9.25
5/2/2001,9.275
5/3/2001,9.265
5/4/2001,9.263
5/7/2001,9.1885
5/8/2001,9.2
5/9/2001,9.2
5/10/2001,9.21
5/11/2001,9.218
5/14/2001,9.16
5/15/2001,9.18
5/16/2001,9.14
5/17/2001,8.975
5/18/2001,9.02
5/21/2001,8.96
5/22/2001,8.99
5/23/2001,9.07
5/24/2001,9.075
5/25/2001,9.085
5/29/2001,9.1
5/30/2001,9.18
5/31/2001,9.175
6/1/2001,9.158
6/4/2001,9.16
6/5/2001,9.14
6/6/2001,9.13
6/7/2001,9.1
6/8/2001,9.0395
6/11/2001,9.04
6/12/2001,9.13
6/13/2001,9.04
6/14/2001,9.095
6/15/2001,9.023
6/18/2001,9.06
6/19/2001,9.075
6/20/2001,9.07
6/21/2001,9.065
6/22/2001,9.065
6/25/2001,9.05
6/26/2001,9.025
6/27/2001,9.05
6/28/2001,9.08
6/29/2001,9.036
7/2/2001,9.02
7/3/2001,9.05
7/5/2001,9.065
7/6/2001,9.136
7/9/2001,9.11
7/10/2001,9.17
7/11/2001,9.24
7/12/2001,9.35
7/13/2001,9.35
7/16/2001,9.265
7/17/2001,9.13
7/18/2001,9.21
7/19/2001,9.195
7/20/2001,9.1355
7/23/2001,9.11
7/24/2001,9.15
7/25/2001,9.15
