Fecha,"General","Subyacente","No_subyacente"
1Q Ene 2000,44.80927026,48.80116016,33.97664235
2Q Ene 2000,45.05224634,49.1371793,34.01775419
1Q Feb 2000,45.27254714,49.41320941,34.11255378
2Q Feb 2000,45.38607009,49.60272707,34.06664354
1Q Mar 2000,45.53044942,49.75694777,34.1819987
2Q Mar 2000,45.6310557,49.89939359,34.19184048
1Q Abr 2000,45.78634268,50.0473203,34.35273535
2Q Abr 2000,45.89369403,50.13264605,34.49741458
1Q May 2000,45.96631446,50.26575835,34.44420303
2Q May 2000,46.05644359,50.35243508,34.53549896
1Q Jun 2000,46.2299573,50.44560974,34.8590146
2Q Jun 2000,46.33788318,50.51034266,35.04682272
1Q Jul 2000,46.4337534,50.59332133,35.16254896
2Q Jul 2000,46.49503568,50.69821387,35.13220398
1Q Ago 2000,46.61587822,50.81090937,35.26184265
2Q Ago 2000,46.82369235,50.90402758,35.68653163
1Q Sep 2000,47.03423352,51.18988884,35.73263743
2Q Sep 2000,47.08790971,51.30852838,35.65285497
1Q Oct 2000,47.29514984,51.45721966,35.96440649
2Q Oct 2000,47.47512162,51.57710539,36.25305436
1Q Nov 2000,47.73216289,51.77101865,36.62042862
2Q Nov 2000,47.84855637,51.91828601,36.66764708
1Q Dic 2000,48.19285675,52.09119219,37.33370186
2Q Dic 2000,48.42248565,52.18218761,37.82640646
1Q Ene 2001,48.55968941,52.42580769,37.7418561
2Q Ene 2001,48.59126331,52.62263855,37.44041103
1Q Feb 2001,48.52754099,52.84111435,36.81494673
2Q Feb 2001,48.5591154,52.99957934,36.5903515
1Q Mar 2001,48.72387398,53.17105117,36.73147967
2Q Mar 2001,48.97775771,53.30323433,37.21296626
1Q Abr 2001,49.05066514,53.44461258,37.14408567
2Q Abr 2001,49.14380832,53.5425817,37.22171485
1Q May 2001,49.15543347,53.64298757,37.05475894
2Q May 2001,49.26450735,53.73007602,37.20105789
1Q Jun 2001,49.31717852,53.82123938,37.17298018
2Q Jun 2001,49.33554875,53.89646274,37.07657087
1Q Jul 2001,49.15902152,53.9389122,36.472218
2Q Jul 2001,49.23752602,53.94493177,36.69096117
1Q Ago 2001,49.40745168,54.11200639,36.85609983
2Q Ago 2001,49.57177975,54.13155997,37.29993343
1Q Sep 2001,49.90589051,54.47381937,37.59683747
2Q Sep 2001,49.99487163,54.58899152,37.62759796
1Q Oct 2001,50.11944572,54.63776114,37.89608371
2Q Oct 2001,50.23282516,54.69994538,38.10476983
1Q Nov 2001,50.37232493,54.76591313,38.38293402
2Q Nov 2001,50.35782924,54.83310136,38.20561307
1Q Dic 2001,50.43590323,54.91265174,38.27582321
2Q Dic 2001,50.43375071,54.94886749,38.19702265
1Q Ene 2002,50.80101388,55.12301749,38.92773319
2Q Ene 2002,51.00007391,55.28651257,39.18567919
1Q Feb 2002,50.86703221,55.52417429,38.31826641
